"iguanaID","abx","lps","tx","jan11mass","jan20glu","jan20mass","jan20svl","jan24glu","jan24mass","feb8glu","feb8mass","feb8svl","tailbreak","jan24agg","jan26agg","feb1agg","feb8agg","jan24lys","jan26lys","feb1lys","feb8lys","jan20bka","jan24bka","jan26bka","feb1bka","feb8bka","jan20drom","jan24drom","feb8drom","jan20oxy","jan24oxy","feb8oxy","jan20totri","jan20gly","jan20trtri","jan24totri","jan24gly","jan24trtri","feb8totri","feb8gly","feb8trtri","jan20drom_std","jan24drom_std","feb8drom_std","jan20oxy_std","jan24oxy_std","feb8oxy_std","jan20osi","jan24osi","feb8osi"
1,"P","L","pl",76,288,74,125,258,76,344,69,133,0,4,2.5,0.5,4,4.5,3,0,3,122.8660924,106.7323481,1.73985087,10.69387755,19.62616822,8.351862464,4.029382304,4.990774587,344.346116,343.0195382,347.5491033,1.990569906,0.140677158,1.923136949,1.437064371,0.073915117,1.440109247,2.057789926,0.624476111,1.628813432,0.7449241497997,-0.692277471731935,-0.929392577765622,0.381297719711233,-0.120404114853101,0.580508726854091,0.363626430088467,-0.571873356878834,-1.50990130461971
2,"P","P","pp",76,343,76,127,336,74,246,75,129,0,2,0,2.5,0,2,0.5,3.5,1,7.126076742,99.83579639,-1.905550953,122.6938776,14.48598131,3.859025788,2.63639399,4.669103568,347.020649,346.642984,342.322801,1.724067241,0.138292799,1.671088568,1.059860599,0.159752027,1.024970737,1.425224522,0.769069573,0.918222022,-0.447951815540408,-1.10787296652653,-0.998251946880789,0.897414784507495,0.113377120042879,0.0944276865597692,-1.3453666000479,-1.22125008656941,-1.09267963344056
3,"C","P","cp",73,308,73,128,292,73,334,62,126,0,0.5,0.5,0,1.5,2,1,0,2.5,3.837118246,1.806239737,3.396851698,8.244897959,10.59190031,4.918051576,5.413021703,3.479895561,347.6892822,341.2078153,351.323655,1.674866749,0.219360992,1.571205618,1.051660517,0.195517406,0.993757316,1.358844201,0.410729254,1.110861255,-0.166773909401768,-0.279471208488079,-1.25282294728765,1.02644404105783,-0.237294732301091,0.931567259572469,-1.19321795045959,-0.0421764761869878,-2.18439020686012
4,"C","L","cl",72,251,71,133,271,69,364,67,133,0,1,1,0,1,1,1.5,0,1,7.752545027,4.433497537,23.11516156,4.653061224,13.39563863,8.383954155,2.972954925,3.245953003,333.3136676,345.1332149,354.5175064,1.642066421,0.197901764,1.554038236,0.996309963,0.014306152,1.059695669,1.872315502,0.31642917,1.671164081,0.753444692530647,-1.00746063219171,-1.30290248818987,-1.74768512915406,0.0159682710942352,1.22861678368008,2.5011298216847,-1.02342890328595,-2.53151927186994
5,"W","L","wl",72,292,73,125,320,71,324,73,132,0,1.5,0,0,NA,1.5,0.5,0.5,NA,6.656225529,95.23809524,14.33305717,6.775510204,33.33333333,8.801146132,2.701836394,NA,337.3254671,346.9449378,NA,0.740057401,0.193133047,0.69879048,1.295612956,-0.033381021,1.375731565,NA,NA,NA,0.864211746439914,-1.08834834596971,NA,-0.973509531959654,0.132858888542225,NA,1.83772127839957,-1.22120723451194,NA
6,"W","P","wp",70,295,67,127,337,65,285,63,135,0,0,0,0,0,0.5,0.5,0.5,0,5.403288958,2.955665025,8.864954432,8.734693878,4.517133956,4.187965616,3.505843072,4.825065274,333.6479843,346.642984,352.4850555,1.232062321,0.400572246,1.031213422,0.740057401,0.092989986,0.764338666,2.038266302,0.758591785,1.514129376,-0.360616253809361,-0.848474436186456,-0.964865586136599,-1.68317048158142,0.113377120042879,1.03958526749336,1.32255422777206,-0.961851556229335,-2.00445085362996
7,"W","P","wp",68,217,65,124,273,65,282,66,131,0,0,0,0,0,0.5,0,0.5,0.5,10.41503524,6.239737274,0.745650373,7.755102041,16.04361371,3.153008596,6.544240401,4.912793734,333.3136676,347.5488455,345.5166524,1.008610086,0.686695279,0.631291455,0.598605986,-0.019074869,0.703082325,1.384224912,0.748113998,0.89386103,-0.635403752966168,0.058025804079254,-0.946085758137717,-1.74768512915406,0.171822431992827,0.391477210667371,1.11228137618789,-0.113796627913573,-1.33756296880509
8,"W","L","wl",63,265,65,121,374,62,271,64,133,0,1.5,1,0,1.5,2.5,1.5,0.5,1,11.98120595,-0.985221675,-4.391052196,15.75510204,16.19937695,3.008595989,3.234724541,7.593385553,336.6568338,345.4351687,345.2263023,1.496514965,0.574630424,1.168942645,1.154161542,0.183595613,1.099102614,1.716126513,1.418692372,0.732703695,-0.673746194591662,-0.929362149964454,-0.372257683462403,-1.10253880780745,0.0354500395935852,0.364472711012316,0.428792613215792,-0.964812189558039,-0.736730394474718
9,"C","L","cl",62,293,59,125,309,59,360,60,126,0,1,0,1.5,0.5,1.5,0,1.5,0.5,19.96867659,10.34482759,2.236951118,118.8925081,12.46105919,4.059598854,4.27245409,6.072758921,340.6686332,344.5293073,346.0973527,1.174661747,0.092989986,1.177916504,1.240262403,0.0691464,1.255950059,1.923076923,0.854987427,1.334607601,-0.394698424202135,-0.619757452606149,-0.69777470039715,-0.32836322991053,-0.0229952659044573,0.445486219278148,-0.0663351942916044,-0.596762186701692,-1.1432609196753
10,"C","P","cp",60,282,61,121,365,57,324,57,128,0,0.5,0,NA,0,2,0.5,NA,0,7.595927956,10.5090312,5.550952775,NA,13.55140187,2.583381089,5.684140234,14.05604874,342.6745329,345.1332149,350.4526046,1.10701107,0.114449213,1.099492782,0.975809758,0.088221268,0.991806477,2.661069895,0.645431685,2.192864103,-0.786643384250042,-0.198583494710081,1.01118963872434,0.0587245590379314,0.0159682710942352,0.850553751306637,-0.845367943287973,-0.214551765804316,0.160635887417704
